"","x"
"1",1
"2",0.862912724712571
"3",0.582262325840561
"4",0.257214645886067
"5",-0.0468759919733235
"6",-0.289216954502066
"7",-0.445151239740591
"8",-0.524887015316037
"9",-0.543612568580569
"10",-0.513570250280443
"11",-0.438888449664972
"12",-0.322567388536109
"13",-0.174182177530829
"14",-0.0148538418849046
"15",0.127852378885346
"16",0.229538351029711
"17",0.273277097831824
"18",0.256844051828168
"19",0.197958820226148
"20",0.128251794786263
"21",0.0764686009805718
"22",0.0546063241147962
"23",0.061019192784726
"24",0.0885184951365053
"25",0.12700110154248
"26",0.16294285447611
"27",0.178249694470688
"28",0.151767760105752
"29",0.0762901798976837
"30",-0.0437025014711125
"31",-0.183398937982143
"32",-0.311282939357077
"33",-0.401924799889898
"34",-0.43687011506646
"35",-0.409312685066367
"36",-0.323540393744608
"37",-0.196578332647342
"38",-0.0459066577910985
"39",0.114442245990925
"40",0.265029382425445
"41",0.38557650256451
"42",0.464551103227369
"43",0.493018541553641
"44",0.460488926528063
"45",0.359391200096673
"46",0.200214430159208
"47",0.0152445012812695
"48",-0.156874987898043
"49",-0.289331660220345
"50",-0.366836963809973
"51",-0.386185478389445
"52",-0.360499733645048
"53",-0.300112871633365
"54",-0.219292666713177
"55",-0.129590425081611
"56",-0.0377727906471187
"57",0.0456725388359509
"58",0.110884945594287
"59",0.15099175594436
"60",0.165569995052415
"61",0.157249254807493
"62",0.13762601557251
"63",0.11990124621674
"64",0.11697308309623
"65",0.128877924488436
"66",0.144026248398989
"67",0.149082773943615
"68",0.131686964751555
"69",0.0892624732039645
"70",0.0264499963513576
"71",-0.0481797966885867
"72",-0.125904895509743
"73",-0.201301605809365
"74",-0.269034184120378
"75",-0.322904811234364
"76",-0.34831242404645
"77",-0.331023173787933
"78",-0.263579831042848
"79",-0.145197296680718
"80",0.0103156395890762
"81",0.17594882426941
"82",0.318869605508967
"83",0.420881403016315
"84",0.458644019936304
"85",0.429685829423931
"86",0.350875900387361
"87",0.237933348788447
"88",0.104060154830664
"89",-0.0400401153382289
"90",-0.177078502300246
"91",-0.290544492285852
"92",-0.367803382402292
"93",-0.395150405934427
"94",-0.36857798412934
"95",-0.290191488836176
"96",-0.174375472076617
"97",-0.0462347830230036
"98",0.06686979666706
"99",0.141580177653501
"100",0.172051265244961
"101",0.164225698502459
