"","x"
"1",1
"2",0.805800096434385
"3",0.554169347479714
"4",0.28063958561532
"5",-0.00238888174494294
"6",-0.228342716346332
"7",-0.373354078556097
"8",-0.453546553633011
"9",-0.482229604485574
"10",-0.465246807992956
"11",-0.404191249075832
"12",-0.310506573491328
"13",-0.194865145321864
"14",-0.0653694905551802
"15",0.0498663973490207
"16",0.130341011539359
"17",0.171830368330008
"18",0.193435578619288
"19",0.204874250909014
"20",0.201239992405678
"21",0.183249968420175
"22",0.153379563138688
"23",0.111652660502828
"24",0.0574077884772022
"25",-0.00209682498411826
"26",-0.0608341947813152
"27",-0.113809829383458
"28",-0.154315702601305
"29",-0.179212295709466
"30",-0.181623305240021
"31",-0.163480556842335
"32",-0.125782304547788
"33",-0.0778096264546254
"34",-0.0305611362346311
"35",0.00819292549287476
"36",0.042315621690672
"37",0.0539293270379215
"38",0.0546904849875025
"39",0.0469419466803038
"40",0.0350512410879002
"41",0.0449746810189355
"42",0.0927508381085574
"43",0.148506790434659
"44",0.207007849886883
"45",0.2514682989193
"46",0.239858304246269
"47",0.169033926929758
"48",0.0789079805340663
"49",-0.0290741381209476
"50",-0.133930441803066
"51",-0.209726680373377
"52",-0.248978306301672
"53",-0.256886300023592
"54",-0.245163930252756
"55",-0.209593760272101
"56",-0.150415946806419
"57",-0.0791105821739735
"58",-0.00206678804441598
"59",0.0670675702209924
"60",0.113875821816077
"61",0.133019759884671
"62",0.135651664915242
"63",0.138555226704561
"64",0.140848039640259
"65",0.143742686063426
"66",0.142620218519197
"67",0.126825971378641
"68",0.082887602876659
"69",0.0140874522564272
"70",-0.0662521013250529
"71",-0.143281616169669
"72",-0.204445571785886
"73",-0.244743145477884
"74",-0.260796062865783
"75",-0.249261239453358
"76",-0.210944953918285
"77",-0.13753581747623
"78",-0.0378820030797733
"79",0.0682037028996515
"80",0.165716417857923
"81",0.228511106682656
"82",0.232724555267671
"83",0.20820158908899
"84",0.160975051640474
"85",0.0999573027197026
"86",0.0570334759773238
"87",0.0420566014616329
"88",0.0357752550856743
"89",0.0363570413079157
"90",0.0351888091751699
"91",0.0198992905617506
"92",-0.0024796485242448
"93",-0.028827329981986
"94",-0.0553217995662705
"95",-0.0928081450425643
"96",-0.131809585938191
"97",-0.155457572498705
"98",-0.164243771277089
"99",-0.152121256035458
"100",-0.12043778932281
"101",-0.0732908210103451
"102",-0.0210491954560134
"103",0.035020895075607
"104",0.0874754101386587
"105",0.131215930766293
"106",0.163907189801915
"107",0.182414891315926
"108",0.189470824504468
"109",0.183258495758437
"110",0.16089128500964
"111",0.123142209279122
"112",0.0580790328944637
"113",-0.0375116396850394
"114",-0.150186272004314
"115",-0.265056741822163
"116",-0.359843974906448
"117",-0.420749418238388
"118",-0.441843553974904
"119",-0.412318184693269
"120",-0.329944607264315
"121",-0.191204553009019
"122",0.00243294080014237
"123",0.233553804638522
"124",0.461787894636404
"125",0.643448569106371
