"","x"
"1",1
"2",0.884413285696448
"3",0.641833519312796
"4",0.354356989773669
"5",0.0775482390997468
"6",-0.151618704173655
"7",-0.320636315519493
"8",-0.42943324681595
"9",-0.482578056474204
"10",-0.477014591733354
"11",-0.411930461708297
"12",-0.294938706537461
"13",-0.140778083473329
"14",0.0242389554563082
"15",0.166869898183315
"16",0.263961450150575
"17",0.307943738853407
"18",0.304364731218659
"19",0.262669473835832
"20",0.197616189147153
"21",0.118742176944432
"22",0.0348824937365242
"23",-0.0429059717411354
"24",-0.104425255481195
"25",-0.141279611480502
"26",-0.147304545853813
"27",-0.117611818587203
"28",-0.0511209550077177
"29",0.0402781885292033
"30",0.137589283679339
"31",0.21917244270121
"32",0.265978870768442
"33",0.263356162300069
"34",0.209851651219848
"35",0.110953399769517
"36",-0.0127706848100331
"37",-0.139022418859125
"38",-0.248762506178254
"39",-0.325851244640982
"40",-0.366099509538936
"41",-0.359837874976413
"42",-0.304740738157615
"43",-0.204043581812707
"44",-0.0671863573733778
"45",0.0856290848274333
"46",0.22550338780764
"47",0.322300851121779
"48",0.354053741784926
"49",0.320654498854851
"50",0.237668553574867
"51",0.126791857903817
"52",0.0120491279158872
"53",-0.0916745749357391
"54",-0.173496103935382
"55",-0.229334133816118
"56",-0.255232676949077
"57",-0.244745986176292
"58",-0.194629553910837
"59",-0.113890588583202
"60",-0.0189355643108561
"61",0.0666648694174382
"62",0.127056756393459
"63",0.156406011260261
"64",0.154941605235742
"65",0.125091243247316
"66",0.0722803960022285
"67",0.00317017906644116
"68",-0.0734989583641812
"69",-0.143404998382222
"70",-0.193208109690763
"71",-0.214923397188299
"72",-0.203379556694046
"73",-0.156521995362833
"74",-0.0810232418379969
"75",0.0101235891687328
"76",0.105771158437256
"77",0.194576225842028
"78",0.261414839000258
"79",0.288628175786357
"80",0.264621394677536
"81",0.187976890020489
"82",0.0721744132710799
"83",-0.0582279384509071
"84",-0.177923230991122
"85",-0.267936761763417
"86",-0.315959362100601
"87",-0.320027071677774
"88",-0.280788939177577
"89",-0.207816665303972
"90",-0.109328130918073
"91",0.0013417119078235
"92",0.106364881239829
"93",0.189859641646589
"94",0.236684649348722
"95",0.235293433338645
"96",0.193358573215899
"97",0.126363440162669
"98",0.0470368330938613
"99",-0.028922021011265
"100",-0.0863138275859446
"101",-0.115363601395589
"102",-0.116847004681241
"103",-0.0925987634558888
"104",-0.0465467509414754
"105",0.0152670731820152
"106",0.0822818718197013
"107",0.144443909810914
"108",0.190342770344471
"109",0.211933178770515
"110",0.20551096903352
"111",0.169143238139872
"112",0.10173424942314
"113",0.00414253871879996
"114",-0.110628878474629
"115",-0.222650968492907
"116",-0.315777659636909
