"","x"
"1",1
"2",0.837146187223279
"3",0.576907741860876
"4",0.276544253397617
"5",-0.00975962601644861
"6",-0.245513220788935
"7",-0.421900447167425
"8",-0.526083325144685
"9",-0.559350550796898
"10",-0.526667164391403
"11",-0.430277225338365
"12",-0.283870204087968
"13",-0.118829576341814
"14",0.0336149053066353
"15",0.144278815690227
"16",0.206900481775505
"17",0.238946229568028
"18",0.247741841397097
"19",0.238783581107792
"20",0.211774329120487
"21",0.166799691878928
"22",0.104023902161121
"23",0.0251087279995062
"24",-0.0601351402683658
"25",-0.137222971750617
"26",-0.193647081789488
"27",-0.214167336555743
"28",-0.192688469071449
"29",-0.139505365448854
"30",-0.0631959670529763
"31",0.0196385190056384
"32",0.103084262145063
"33",0.164544285285004
"34",0.190237249760401
"35",0.17315746863562
"36",0.11125155644886
"37",0.0247804491905895
"38",-0.0710947221402205
"39",-0.146568566260485
"40",-0.183038864812044
"41",-0.169632074325407
"42",-0.12229284215704
"43",-0.0542555984552174
"44",0.0254265694136736
"45",0.113820998524197
"46",0.183599516840511
"47",0.224926869191396
"48",0.22347637731802
"49",0.17865503152589
"50",0.103273577879193
"51",0.0116409709564937
"52",-0.0798539741417582
"53",-0.157726773369748
"54",-0.214118643583728
"55",-0.244734778982228
"56",-0.242209308709064
"57",-0.204994564441033
"58",-0.134079529940274
"59",-0.0396391186680201
"60",0.0590018146387164
"61",0.143940708968342
"62",0.200333304703655
"63",0.225741195376971
"64",0.21836932086167
"65",0.181631729600777
"66",0.124656127313167
"67",0.0559188432327857
"68",-0.0184488794069175
"69",-0.0925680731121672
"70",-0.156604361880381
"71",-0.196698906400845
"72",-0.206854034758315
"73",-0.18925992673853
"74",-0.151769765093105
"75",-0.0955037269530816
"76",-0.0281820621540013
"77",0.0504098104287875
"78",0.121877853921992
"79",0.174047228804593
"80",0.195980089618866
"81",0.184288672211765
"82",0.13438944142186
"83",0.0625797604173202
"84",-0.0147008537733658
"85",-0.0800838316743141
"86",-0.125734056990753
"87",-0.143617033993604
"88",-0.128921358085476
"89",-0.0929637965517975
"90",-0.0345083736546547
"91",0.0332651774301171
"92",0.100354248476309
"93",0.145925239341396
"94",0.15370077250584
"95",0.120813369735067
"96",0.0559797986335378
"97",-0.0229045256913294
"98",-0.0936420926580007
"99",-0.147359713784509
"100",-0.170844004201425
"101",-0.164540241338217
"102",-0.130355757206697
"103",-0.0721451282353714
"104",-0.000215006707740331
"105",0.0716653095559774
"106",0.133706645278681
"107",0.179296155608719
"108",0.205248615742408
"109",0.207500516049856
"110",0.1852835384812
"111",0.141211587892875
"112",0.078747946622127
"113",0.00273952496626893
"114",-0.0941652694259393
"115",-0.204524300260226
"116",-0.308582199443309
"117",-0.382012535000498
"118",-0.404195180261082
"119",-0.369152806320033
"120",-0.281720870385847
"121",-0.148943106345338
"122",0.0143493709129328
"123",0.187813684801033
"124",0.354167427934109
"125",0.489138266951471
"126",0.577737060207824
"127",0.574847614889384
"128",0.468076796266518
"129",0.294040878804744
"130",0.0956754239256076
"131",-0.0924007999160697
"132",-0.24497627038773
"133",-0.350655250725214
"134",-0.400581922699205
"135",-0.399748141765948
"136",-0.349789928889816
"137",-0.261678972583749
"138",-0.149494172020995
"139",-0.0332391832686018
"140",0.0636066823075178
"141",0.133080223606465
"142",0.179732610788119
"143",0.200627202515011
"144",0.202985560884371
"145",0.188563722034522
"146",0.150488345455683
"147",0.0955974308597401
"148",0.0281519363482167
"149",-0.0443081424486512
"150",-0.109521548990293
"151",-0.15689563824708
"152",-0.175205717391959
"153",-0.1599099828601
"154",-0.113981288131163
"155",-0.0452230159651233
"156",0.0275684037076036
"157",0.0881584908316955
"158",0.128896529472639
"159",0.139941611814214
"160",0.121672302750168
"161",0.0805989241665997
"162",0.016974208397575
"163",-0.056472843095258
"164",-0.115388932184532
"165",-0.14647496559424
"166",-0.136430820981574
"167",-0.0930141648683415
"168",-0.0309898925000217
"169",0.0374338499780129
"170",0.0912473040492426
"171",0.130014966605084
"172",0.163962613832651
"173",0.170862249205096
"174",0.14804309621277
"175",0.0978865911198864
"176",0.0279695285807529
"177",-0.048429501571812
"178",-0.117855776220987
"179",-0.169687642859698
"180",-0.19809314626689
"181",-0.20075209204691
"182",-0.17757488259835
"183",-0.129893718896085
"184",-0.0613968608991034
"185",0.0213884208741865
"186",0.10224858293206
"187",0.165098804729781
"188",0.201689844813717
"189",0.208614029377177
"190",0.185261539863563
"191",0.132459695446397
"192",0.0561199690872108
"193",-0.0284476301036561
"194",-0.104975316056583
"195",-0.162758142667535
"196",-0.195922895388015
"197",-0.20006798073696
"198",-0.174792951032004
"199",-0.129558812694686
"200",-0.0690002711228611
"201",0.000714338689341953
"202",0.0764573582861848
"203",0.141308264743038
"204",0.182873542073048
"205",0.192634386666428
"206",0.170831790564627
"207",0.110508619405422
"208",0.0396167831818856
"209",-0.0379793550312648
"210",-0.103616656678332
"211",-0.144807478067201
"212",-0.15211816704947
"213",-0.128060124486681
"214",-0.0799244149102021
"215",-0.0255389131115223
"216",0.0378517963866635
"217",0.0945142341686742
"218",0.130397112184404
"219",0.143195193101004
"220",0.120799642064961
"221",0.0684934783079649
"222",-0.00114028306658103
"223",-0.0707958564427303
"224",-0.12620607077484
"225",-0.153674825258311
"226",-0.150528768113238
"227",-0.122642954094573
"228",-0.0781965107987868
"229",-0.0240951239552338
"230",0.034463523085524
"231",0.0906917569395246
"232",0.140508679741804
"233",0.176488843327493
"234",0.194236289078405
"235",0.191848183967714
"236",0.163866111243021
"237",0.10886899829377
"238",0.0287471478647368
"239",-0.0663130102877736
"240",-0.174124252700685
"241",-0.275677407188598
"242",-0.354237407339005
"243",-0.391168025123653
"244",-0.370947307324661
"245",-0.292878590337366
"246",-0.164320194442335
"247",0.00201882915112536
"248",0.186418207847474
"249",0.350539736161368
"250",0.472721530021894
"251",0.515611217372366
"252",0.501354539459327
"253",0.409688409023145
"254",0.260223696662858
"255",0.0933797170517415
"256",-0.078429439146573
"257",-0.220824803455614
"258",-0.317582955587335
"259",-0.360876631614297
"260",-0.357591134269398
"261",-0.309245069176989
"262",-0.229540892151564
"263",-0.130872093922903
"264",-0.0308368230016612
"265",0.0555183215380569
"266",0.122747139568269
