"","x"
"1",1
"2",0.845337985604444
"3",0.54851744451569
"4",0.2202226792284
"5",-0.0769365476350164
"6",-0.311348310462119
"7",-0.462915764768841
"8",-0.526339212093139
"9",-0.515032920083267
"10",-0.444183324273707
"11",-0.329734393665409
"12",-0.197559774486091
"13",-0.0787374572487573
"14",0.0138177179422672
"15",0.0807644913856453
"16",0.13392196798615
"17",0.182323676032568
"18",0.214821689010631
"19",0.217660610957122
"20",0.194300906704895
"21",0.15843484464213
"22",0.118889621024798
"23",0.0769912302901308
"24",0.029155773135612
"25",-0.0228408894102978
"26",-0.0710121708261665
"27",-0.101600409048983
"28",-0.114271652296436
"29",-0.107876597086309
"30",-0.0922502310092647
"31",-0.0696516873494466
"32",-0.0326950392039467
"33",0.0167020474259899
"34",0.0618643901255588
"35",0.0858815172949398
"36",0.0801115209812525
"37",0.0407696248749066
"38",-0.0216718249723326
"39",-0.0869013058331178
"40",-0.124550428568041
"41",-0.134992456969411
"42",-0.121880353689756
"43",-0.0869069177387835
"44",-0.0312191365384024
"45",0.0435019030052509
"46",0.121946004738212
"47",0.174038384643146
"48",0.191462125062485
"49",0.177153433920907
"50",0.141227660547369
"51",0.0851100672270203
"52",0.0113053836468653
"53",-0.0658089214543777
"54",-0.136035143330796
"55",-0.192763573119877
"56",-0.220846901011437
"57",-0.206651483166613
"58",-0.152412783810213
"59",-0.0712091555646604
"60",0.0233584757178933
"61",0.113897398446188
"62",0.185494139098743
"63",0.225992380668014
"64",0.227755888201015
"65",0.192349008448083
"66",0.126709870107806
"67",0.0397629451429947
"68",-0.054615834840744
"69",-0.141071839881113
"70",-0.201985144078216
"71",-0.223473105549706
"72",-0.203832628501715
"73",-0.15263016977871
"74",-0.0814197556106254
"75",0.00150823441779148
"76",0.0794066825849341
"77",0.140480383447576
"78",0.176529025653689
"79",0.184963416144488
"80",0.163851230625074
"81",0.115652842014075
"82",0.0507387586542106
"83",-0.0137780636224232
"84",-0.0707476424496313
"85",-0.107757029423637
"86",-0.118234777585869
"87",-0.105037511580044
"88",-0.0709467028007815
"89",-0.0271712273168335
"90",0.0132738064460688
"91",0.0363939981606811
"92",0.0414896279809183
"93",0.0294755839611492
"94",0.00270654497061627
"95",-0.0253213388202358
"96",-0.0467983935055974
"97",-0.0603376368905433
"98",-0.0693443214381669
"99",-0.0705188414374113
"100",-0.0623213196095968
"101",-0.0431756709280318
"102",-0.0173756986047529
"103",0.0143716981860835
"104",0.0484062782424744
"105",0.0831983271112596
"106",0.118877764291203
"107",0.152362678751226
"108",0.175978622603173
"109",0.180088091959852
"110",0.168853062828162
"111",0.14338717080085
"112",0.0987412048655863
"113",0.0329232099448546
"114",-0.0599806728452046
"115",-0.176008579530157
"116",-0.298242279860636
"117",-0.400889546337049
"118",-0.46060915518832
"119",-0.463468681099443
"120",-0.396443511596094
"121",-0.25259446332983
"122",-0.0426365798669135
"123",0.210213011375972
"124",0.465628460927921
"125",0.669733297369931
"126",0.740363444511061
"127",0.667385436222749
"128",0.481228459910144
"129",0.236916043872972
"130",-0.0146819227976181
"131",-0.230822091668341
"132",-0.377057181011695
"133",-0.447964983209746
"134",-0.45046413873901
"135",-0.394735622601544
"136",-0.297139742373789
"137",-0.186657833294502
"138",-0.0858546850883593
"139",-0.00426791622861852
"140",0.0608659266411238
"141",0.115003086527695
"142",0.156348193528894
"143",0.180674006417453
"144",0.186956127093461
"145",0.176444025316026
"146",0.152469003398226
"147",0.120586999799586
"148",0.081548388213217
"149",0.0343314796041755
"150",-0.0186630977883024
"151",-0.0697052716329375
"152",-0.105987971643107
"153",-0.121443386802812
"154",-0.116948554019711
"155",-0.0977817235948034
"156",-0.0648727470329595
"157",-0.0189368423468724
"158",0.0294552911338656
"159",0.0651464171482199
"160",0.0810704971724952
"161",0.0738733988279636
"162",0.0377720133529244
"163",-0.0148282677033524
"164",-0.06601195743013
"165",-0.106691393967657
"166",-0.125104091227041
"167",-0.120606684961125
"168",-0.0900108164458632
"169",-0.0355206964736743
"170",0.0364724520147982
"171",0.104578423894953
"172",0.148397374609079
"173",0.169261794311262
"174",0.166286019413381
"175",0.13469163761177
"176",0.0838543238662504
"177",0.0213763652409812
"178",-0.0480954837042902
"179",-0.121971642185134
"180",-0.180079566139227
"181",-0.207495577696659
"182",-0.198542202150555
"183",-0.156323386492091
"184",-0.0839528772863966
